dbp,num_peaks,total_peak_length,peaks_overlapping_promoters,peaks_overlapping_lncrna_promoters,peaks_overlapping_mrna_promoters,peaks_overlapping_genebody,peaks_overlapping_lncrna_genebody,peaks_overlapping_mrna_genebody
HNF4A,30380,16926321,5803,1701,4102,25987,5690,20297
HNF4G,6909,6229213,1884,549,1335,6284,1349,4935
HOMEZ,51414,35446292,15530,3943,11587,48185,10038,38147
HOXA3,43971,37670336,17244,4348,12896,42757,8643,34114
HOXA5,23468,15686370,13870,3135,10735,24709,5139,19570
HOXD1,14208,8546789,10855,2351,8504,16158,3206,12952
HSF2,2075,823674,1012,248,764,1943,453,1490
IKZF4,21403,25625154,13958,3169,10789,23669,4908,18761
IKZF5,33989,42231694,14759,3626,11133,33875,7284,26591
IRF1,4606,4151535,4367,991,3376,5725,1170,4555
IRF2,55630,48693422,17073,4440,12633,50413,10872,39541
IRF5,12618,10129767,11322,2441,8881,15112,2856,12256
ISL2,29421,19354002,13565,3137,10428,29549,6278,23271
ISX,2063,887140,2157,439,1718,2488,438,2050
JUN,3504,2814859,703,235,468,3093,807,2286
JUND,14653,7200047,3101,937,2164,12601,2985,9616
KAT7,27325,38338479,13971,3302,10669,29321,6014,23307
KAT8,47884,41174247,15991,4054,11937,44544,9613,34931
KDM1A,2149,2713726,733,190,543,1962,485,1477
KDM2A,64435,71238631,19013,5342,13671,58318,12230,46088
KDM3A,27470,22275264,14331,3393,10938,27874,5816,22058
KDM4B,34154,27014164,15794,3817,11977,33725,7121,26604
KDM5B,21951,39490880,14352,3434,10918,24662,5141,19521
KDM6A,14475,7288117,3443,1000,2443,12785,2902,9883
KLF11,30009,21965879,14455,3449,11006,30041,6278,23763
KLF12,11881,7894415,10867,2307,8560,14423,2730,11693
KLF13,35101,40744162,15148,3876,11272,34150,6529,27621
KLF16,45400,42404899,15946,4003,11943,42734,9173,33561
KLF6,32043,27627673,14952,3571,11381,32140,6886,25254
KLF9,14599,10528582,9964,2170,7794,16479,3315,13164
KMT2A,36860,40901663,16156,3978,12178,37352,7341,30011
KMT2B,34534,30843416,15148,3611,11537,34524,7196,27328
LBX2,16734,20360849,11310,2600,8710,18812,3679,15133
LCOR,38234,43994723,14757,3733,11024,36803,7935,28868
LCORL,45502,35110887,15529,3927,11602,41809,8871,32938
LIN54,27805,27145763,14084,3291,10793,28323,6060,22263
LRRFIP1,4984,2979023,4688,986,3702,6046,1169,4877
MAF1,5178,3002478,5387,1149,4238,6503,1212,5291
MAFF,52902,13930354,2865,1076,1789,38258,10616,27642
MAFG,1553,477268,360,133,227,1229,325,904
MAFK,47481,12951414,2230,885,1345,34492,9438,25054
MATR3,13451,9032874,7416,1781,5635,13840,2209,11631
MAX,10191,24640219,9287,2099,7188,13320,2762,10558
MAZ,10086,19613690,9373,2121,7252,13246,2632,10614
MED1,8725,11644298,7557,1672,5885,10855,2327,8528
MED13,9096,5559331,7476,1616,5860,10536,2143,8393
MEF2A,15531,12203064,8792,1996,6796,16691,3550,13141
MEF2D,34782,35868472,14711,3613,11098,34058,7236,26822
MIER2,43316,32799860,15666,3917,11749,39806,8730,31076
MIER3,30745,26666096,13168,3162,10006,30193,6567,23626
MIXL1,52140,32793601,15226,3908,11318,47015,10214,36801
MLX,20181,11488551,9779,2282,7497,20348,4296,16052
MNX1,38320,43374969,16986,4250,12736,37970,7871,30099
MTA1,15075,31963019,8505,2220,6285,16621,3516,13105
MTF2,2565,2478166,2102,531,1571,2896,676,2220
MXD1,17500,18100203,13923,3071,10852,20572,3976,16596
MXD3,32084,45258471,16526,4048,12478,33273,6602,26671
MXD4,35153,33872037,15494,3766,11728,35001,7229,27772
MXI1,4072,2822185,4464,865,3599,5658,974,4684
MYNN,22979,25012746,14419,3321,11098,24729,4979,19750
MYRF,21151,17727102,13590,3107,10483,22737,4585,18152
NAIF1,2066,1250663,1943,442,1501,2513,548,1965
NFAT5,17353,14219691,13447,2929,10518,19659,3758,15901
NFATC3,12762,14666692,10677,2362,8315,15439,3256,12183
